"País","inflación","pbi","celulares"
"Ingreso mediano alto",3.54360207959297,3.77526312695242,117.26897958476
"Ingreso mediano y bajo",3.59085223907475,3.36229121332001,102.333580741468
"inicial del dividendo demográfico",3.81974052399639,2.65923351227909,97.0471229835098
"Iraq",15.3606380188031,-2.84249272447309,95.04015497
"Irlanda",0.818947196760206,6.83804780403608,103.1710486
"Islandia",2.62444781818934,1.07102454950866,122.1696222
"Islas Salomón",3.45660276208967,1.17903637149928,73.83377983
"Israel",1.15142608017476,1.47961747988643,127.6618693
"Italia",0.897785763353639,0.989882105751775,137.466947
"Jamaica",4.84687622078744,1.45452492809596,101.0265271
"Japón",-0.0979218330334817,0.526738907751749,141.4069924
"Jordania",1.76506156195033,0.129635568275077,87.62148885
"Kazajstán",9.20560599056166,2.74027498197631,142.2824428
"Kenya",2.42247069712491,3.89485265240693,96.32021675
"Kirguistán",3.44744513413195,1.7132090986445,138.5660601
"Kiribati",5.32122446615581,0.821475475201055,46.04176198
"Kuwait",14.5902471461894,-0.741130963542489,171.6053322
"Letonia",3.97185213383612,5.10052185430818,107.3489247
"Líbano",5.45761428937841,-2.45697312280303,64.49805872
"Lituania",3.31977875575407,4.63845827413193,163.8703457
"Luxemburgo",2.51183599840827,1.14105379601197,132.1649331
"Macedonia del Norte",3.64355051878529,2.67270630281698,94.53430868
"Madagascar",7.58254319797314,1.81023889935288,40.57034123
"Malasia",0.71190565562911,3.3345011012496,134.5259947
"Malawi",6.66924073842601,0.48002700393404,39.00579484
"Maldivas",5.26504020311766,2.88973083684236,166.3642921
"Malí",2.08703872925946,1.54965784177431,115.0846727
"Malta",2.11847905197573,3.631532173756,140.2039395
"Marruecos",1.0660233458723,1.68827508535729,124.1715549
"Mauricio",1.44598261781033,3.70333531398892,151.3591149
"Mauritania",1.80833187829799,-0.684871982415757,103.7060504
"México",4.96688092532254,0.991932458168463,95.2316028
"mezcla de la AIF",2.42247069712491,1.26059044846029,81.3066148615377
"Miembros OCDE",1.89461830647863,1.61877334665859,121.424345048673
"Mónaco",0.773590411568549,5.30456590218964,84.50700584
"Mongolia",8.41183491671578,5.33766339058026,133.1783386
"Montenegro",3.22610779577788,5.10254298166686,180.6938097
"Mozambique",2.12405394187584,0.458309215545086,47.71577872
"Mundo",2.77360042047631,1.91758929190739,106.514794035566
"Myanmar",6.26521865850498,6.10287433729985,113.8444919
"Namibia",4.29891523035953,-1.17932334516826,112.7023597
"Nepal",6.70063545527202,4.95069677873525,139.4463618
"Nicaragua",3.59246623097648,-5.14914016579304,115.0959067
"Nigeria",10.2284850900327,-0.679719293893655,88.18424125
"Noruega",5.78159199736361,0.623147013717045,107.1737116
"Nueva Zelandia",0.172733095541915,2.75271247340048,134.9319679
"Omán",10.3423703651869,-1.68277807762448,139.9674164
"Oriente Medio y Norte de África",7.55658500081616,0.633762674220307,106.020413347382
"Otros Estados pequeos",2.70778635666939,0.118005476440203,121.976474522859
"Países Bajos",2.20778826560264,2.00009858507431,123.7312099
"Países de ingreso bajo",4.46458808385854,0.95799135686714,60.7676048436177
"Países de ingreso mediano bajo",3.52453449653308,3.68213555052886,94.3261398616487
"Países menos desarrollados: clasificación de las Naciones Unidas",3.77228959059034,2.00666630172176,76.6029886471001
"Países pobres muy endeudados (PPME)",3.05626671196583,1.33590477274963,73.2616639522837
"Pakistán",2.45928609500187,3.68276203552507,72.55706103
"Panamá",0.948617363108809,1.95179809298511,137.0014238
"Paraguay",2.18674624208246,2.02947951100916,106.9525792
"Pequeños Estados",2.70024070629712,0.307883330336509,118.458447461983
"Perú",2.01623291258031,2.20561703131051,131.7778873
"Polonia",1.17943338717572,5.34923595322803,134.7484225
"Portugal",1.58612975001257,2.80170349737396,115.6330424
"posterior al dividendo demográfico",2.12765981480346,1.76737925359116,125.759946152285
"previa al dividendo demográfico",2.51588885255087,-0.734614000391943,74.5555491149217
"Puerto Rico",2.38735999970949,-0.7206495772473,109.563442
"Qatar",12.9503755884405,-0.584669133443043,141.8558268
"Región Administrativa Especial de Macao, China",3.53180581005222,3.93160838930109,345.3245224
"Reino Unido",2.13684057763119,0.72852423953023,118.3651292
"República Centroafricana",-1.22411715845705,2.22474284797838,27.41449024
"República Checa",2.55525021636672,2.50268690428224,119.1135078
"República de Moldova",3.1800229925261,6.19432660826973,89.75768174
"República Democrática Popular Lao",1.91988919391754,4.61588222048861,51.86337704
"República Dominicana",4.12148968696981,5.83455956577403,84.10208352
"República Eslovaca",2.0397269598665,3.75293861144961,132.801823
"Ribera Occidental y Gaza",-0.0919257869907,-1.61856449743397,89.97575355
"Rumania",6.29911462409109,5.05226642463357,116.0354133
"Rwanda",-0.746564087376427,5.73667684413088,78.85411036
"San Marino",1.32487041306295,0.831145020152803,113.9558976
"San Vicente y las Granadinas",0.24544199075433,1.80809329953506,96.06572847
"Santa Lucía",0.683256054772841,2.11240872344067,101.6795958
"Santo Tomé y Príncipe",4.68929047222298,0.741510552496834,77.05612525
"Senegal",-0.487444709665809,3.46093526161526,104.450641
"Serbia",2.12356741811402,4.96414998873551,95.78099081
"Seychelles",2.20703988326012,2.76813955939859,184.2980143
"Sierra Leona",13.4260267912915,1.25932772139537,83.07224041
"Singapur",3.08932962515523,2.95339703994944,148.821563
"Sólo AIF",3.58923824717301,2.84773479463203,82.3894623348351
"Sólo BIRF",3.69210217433609,3.75229430101783,109.22919506167
"Sri Lanka",4.33820094071558,2.22901776687038,142.6507235
"Sudáfrica",3.91653962575576,-0.572080196712221,159.9306644
"Sudán",23.9347802893319,-4.62984322829847,72.00791416
"Suecia",2.39692033450507,0.772577449000039,126.8307474
"Suiza",0.230767974241402,1.99643916740311,126.5434466
"Suriname",4.62406308216212,1.63980471235105,130.604698
"Tailandia",1.46447905791358,3.82273796707413,180.1826119
"Tanzanía",4.77746752534824,2.35283922112663,77.24135223
"Timor-Leste",-1.78475653559744,-2.71351956714597,115.8142833
"Togo",1.32842544443837,2.3752725065104,77.88610174
"Tonga",3.58923824717301,-0.865346735208718,104.5941258
"total de la AIF",3.45202394811081,2.07512074340967,81.9921585598059
"Trinidad y Tobago",6.05661988687804,-0.660494390281343,141.9293402
"Túnez",6.47778433624735,1.49480936027844,127.7071968
"Turquía",16.4387463942893,1.30556428320997,97.30132788
"Ucrania",15.3979947622403,3.93289796855672,127.753861
"Uganda",4.08797641909101,2.27724053899796,57.27260732
"Unión Europea",1.78724593225657,1.99900444933698,122.7329387139
"Uruguay",5.55504296826201,1.24731253455232,149.9042265
"Uzbekistán",27.4703062659273,3.63067001451314,71.51737128
"Vanuatu",2.33203295959692,0.281038671952288,85.90542572
"Viet Nam",3.39810502289512,6.01808839754494,147.1952734
"Yemen, Rep. del",46.8752331104562,-1.59439452372281,53.67893316
"Zambia",10.2409007457137,1.04819282575673,89.15704437
"Zimbabwe",5.22022666745086,3.36113794924368,89.40486891
"Zona del Euro",1.70225038320027,1.71769603989024,122.563302232119
