"País","inflación","pbi","celulares"
"África al sur del Sahara",3.91653962575576,-0.263130439102966,82.4016158278204
"África al sur del Sahara (BIRF y la AIF)",3.91653962575576,-0.263130439102966,82.4016158278205
"África al sur del Sahara (excluido altos ingresos)",4.08797641909101,-0.277122973392977,82.2974410908318
"Albania",1.35940039453163,4.32839557846701,94.17699827
"Alemania",1.51202554251684,1.22278723255135,129.3242137
"América del Norte",2.08714488095904,2.21189492700915,124.999304203126
"América Latina y el Caribe",2.46415572670481,0.633834477422312,104.53256341178
"América Latina y el Caribe (BIRF y la AIF)",2.54095145370013,0.684926045929629,105.538981443261
"América Latina y el Caribe (excluido altos ingresos)",2.79860908283298,0.592445398364234,103.013957594396
"Andorra",1.01247848005298,1.58216933136615,107.2825494
"Angola",29.0658847207699,-5.16205036467497,43.13051888
"Arabia Saudita",11.5084829770386,0.607923524115989,122.5733112
"Argelia",7.55658500081616,-0.615183263534163,111.6647921
"Argentina",40.7027906889545,-3.46737624314432,132.0931513
"Armenia",2.7877095139188,4.95169918042562,121.259018
"Asia meridional",4.44687265166746,4.83827526302154,87.3631396540991
"Asia meridional (BIRF y la AIF)",4.44687265166746,4.83827526302154,87.3631396540991
"Asia oriental y el Pacífico",3.11182136781865,3.54177866776513,122.176344799733
"Asia oriental y el Pacífico (BIRF y la AIF)",3.45660276208967,5.75832948014204,120.239041127153
"Asia oriental y el Pacífico (excluido altos ingresos)",3.4273538924924,5.76062923176177,120.239041127153
"Australia",1.89461830647863,1.37114449535596,111.012255
"Austria",1.70225038320027,1.92211865205813,123.5352681
"avanzada del dividendo demográfico",3.39810502289512,4.40117803949276,122.209928068257
"Azerbaiyán",12.1844329641445,0.624884409708642,103.9214187
"Bahamas",0.679493635323425,0.544150188792798,100.7960854
"Bahrein",4.25160701177421,-2.93883567477174,133.3409369
"Bangladesh",5.59741991274478,6.73701752220683,100.2447125
"Barbados",2.77603359440491,-0.721845443364103,114.8914496
"Belarús",12.1392299761097,3.30979210664741,122.925228
"Bélgica",1.5335694355189,1.02672843817844,99.69668646
"Belice",-0.201776771113487,0.143898288123751,64.29904639
"Benin",0.589827210491478,3.818777310836,82.38429039
"Bhután",1.77848185805654,1.82227328925286,93.26155771
"BIRF y la AIF",3.54360207959297,3.37250443634301,102.848263153816
"Bolivia",3.05626671196583,2.75215380976242,100.8164084
"Bosnia y Herzegovina",2.77116724654772,4.5773886040386,104.1256346
"Botswana",1.16745129999205,2.2077643710616,150.0055899
"Brasil",3.28543989750865,0.526155826049262,98.8435013
"Brunei Darussalam",9.21765348827164,-0.99478850862225,131.9342228
"Bulgaria",4.01228802924223,3.83123442190116,118.9396801
"Burkina Faso",2.37753650415873,3.80050234414495,97.91227142
"Burundi",-2.85085706573125,-1.55740735383216,56.53470747
"Cabo Verde",1.52382748029073,3.32584693784742,112.2407207
"Camboya",3.11182136781865,5.87937290489108,119.4915172
"Camerún",1.59928885997273,1.37919198196641,73.19019901
"Canadá",1.81459782668129,0.597463557030892,89.57894095
"Chad",5.0146577780751,-0.674995563522558,45.12373876
"Chile",2.36047931576597,2.51338504277558,134.4373213
"China",3.49796591201293,6.26604182706623,115.5258122
"Chipre",1.36762213175116,2.79501433288559,138.900486
"Colombia",4.48347809655093,0.971629907629179,129.9086097
"Comoras",1.16280654817258,1.14050990405651,59.94110452
"Congo, República del",21.5321795946405,-0.989438907926612,95.34053637
"Congo, República Democrática del",28.9693437281034,2.46109267100694,43.38221502
