"País","2018_pbi","2019_pbi","2018_infl","2019_infl","2018_med","2019_med"
"Afganistán",0.617756235746,2.23909932897131,-0.559824440560746,0.549627730870014,NA,NA
"África al sur del Sahara",3.91653962575576,2.39987350730723,-0.263130439102923,-0.369576264588773,NA,NA
"África al sur del Sahara (BIRF y la AIF)",3.91653962575576,2.39987350730723,-0.263130439102937,-0.369576264588716,NA,NA
"África al sur del Sahara (excluido altos ingresos)",4.08797641909101,2.39987350730723,-0.277122973392935,-0.38390491311911,NA,NA
"Albania",1.35940039453163,0.381513796816918,4.32839557846701,2.65043141253594,NA,NA
"Alemania",1.51202554251684,2.13995863711523,1.22278723255135,0.289556721376243,NA,NA
"América del Norte",2.08714488095904,1.82715737179586,2.21189492700915,1.68583318053115,NA,NA
"América Latina y el Caribe",2.46415572670481,2.50789657739299,0.633834477422312,-0.100461779781668,NA,NA
"América Latina y el Caribe (BIRF y la AIF)",2.54095145370013,2.50891180680917,0.6849260459296,-0.130427892642473,NA,NA
"América Latina y el Caribe (excluido altos ingresos)",2.79860908283298,2.8667003275277,0.592445398364234,-0.130300659746709,NA,NA
"Andorra",1.01247848005298,1.50786346256042,1.58216933136615,1.66967982731359,NA,NA
"Angola",29.0658847207699,35.9005239768935,-5.16205036467497,-4.03261354245136,NA,NA
"Antigua y Barbuda",2.16464421557525,2.50891180680917,6.4300264671072,3.75387292821028,NA,NA
"Arabia Saudita",11.5084829770386,0.486383590063383,0.607923524115989,-1.33325637938142,2.6117,NA
"Argelia",7.55658500081616,-0.650661944352208,-0.615183263534163,-1.13069230350069,1.7193,NA
"Argentina",40.7027906889545,51.5083375181221,-3.46737624314432,-3.13005137908782,NA,NA
"Armenia",2.7877095139188,1.46271392754878,4.95169918042562,7.3833616376878,NA,NA
"Aruba",NA,NA,NA,NA,NA,NA
"Asia meridional",4.44687265166746,2.31089945129932,4.83827526302156,3.61112268830126,NA,NA
"Asia meridional (BIRF y la AIF)",4.44687265166746,2.31089945129932,4.83827526302154,3.61112268830128,NA,NA
"Asia oriental y el Pacífico",3.11182136781865,2.25645515140285,3.54177866776513,3.20964686142608,NA,NA
"Asia oriental y el Pacífico (BIRF y la AIF)",3.45660276208967,2.38591376532678,5.75832948014204,5.22092256770783,NA,NA
"Asia oriental y el Pacífico (excluido altos ingresos)",3.4273538924924,2.29815675604818,5.76062923176177,5.22257783702811,NA,NA
"Australia",1.89461830647863,3.30387396291398,1.37114449535596,0.363735766720836,NA,NA
"Austria",1.70225038320027,1.72198764383367,1.92211865205813,1.19462890257502,NA,NA
"avanzada del dividendo demográfico",3.39810502289512,2.27901361641261,4.40117803949278,3.86818340873647,NA,NA
"Azerbaiyán",12.1844329641445,-0.229640790367228,0.624884409708642,1.36668440801164,NA,NA
"Bahamas",0.679493635323425,1.41485451381615,0.544150188792798,0.795068675408061,NA,NA
"Bahrein",4.25160701177421,0.616772691343812,-2.93883567477174,-2.63080130442501,NA,NA
"Bangladesh",5.59741991274478,4.4589512526022,6.73701752220683,7.031583836105,0.5809,NA
"Barbados",2.77603359440491,2.50688134797682,-0.721845443364103,-0.229793192309359,NA,NA
"Belarús",12.1392299761097,6.57203381101867,3.30979210664741,1.40004793095767,NA,NA
"Bélgica",1.5335694355189,1.52356335314683,1.02672843817844,0.901135132162906,NA,NA
"Belice",-0.201776771113487,0.182596941910589,0.143898288123751,-1.60391056226575,NA,NA
"Benin",0.589827210491478,-0.317730866205267,3.818777310836,4.00320685655214,0.0791,NA
"Bermudas",NA,NA,NA,NA,NA,NA
"Bhután",1.77848185805654,NA,1.82227328925286,NA,0.4242,NA
"BIRF y la AIF",3.54360207959297,2.42305502309581,3.37250443634309,2.69234944628529,NA,NA
"Bolivia",3.05626671196583,-0.693004585478391,2.75215380976242,0.796552665656364,NA,NA
"Bosnia y Herzegovina",2.77116724654772,2.09224613765811,4.5773886040386,3.29517469297669,NA,NA
"Botswana",1.16745129999205,0.641240208185792,2.2077643710616,0.750508476434078,NA,NA
"Brasil",3.28543989750865,4.15427431602915,0.526155826049262,0.379344236418362,2.1643,NA
"Brunei Darussalam",9.21765348827164,-3.33576804035043,-0.99478850862225,2.83277999299858,NA,NA
"Bulgaria",4.01228802924223,4.65238357949258,3.83123442190116,4.10182114297564,NA,NA
"Burkina Faso",2.37753650415873,-2.98778250320298,3.80050234414495,2.72492652666693,NA,NA
"Burundi",-2.85085706573125,0.822247025415379,-1.55740735383216,-1.29480274901135,NA,NA
"Cabo Verde",1.52382748029073,0.562980597096782,3.32584693784742,4.4825965834205,NA,NA
"Camboya",3.11182136781865,3.23537176921343,5.87937290489108,5.51682776902609,NA,NA
"Camerún",1.59928885997273,1.5847442486195,1.37919198196641,1.36358995415048,NA,NA
"Canadá",1.81459782668129,1.91066229465788,0.597463557030892,0.218665447817074,NA,NA
"Chad",5.0146577780751,2.85603411987742,-0.674995563522558,0.209857602815177,NA,NA
"Chile",2.36047931576597,2.66861134455286,2.51338504277558,-0.133968534486016,2.5912,NA
"China",3.49796591201293,1.58177036472824,6.26604182706623,5.73012069082172,NA,NA
"Chipre",1.36762213175116,0.563740008484032,2.79501433288559,1.86023575304719,NA,NA
"Colombia",4.48347809655093,4.28559743591295,0.971629907629179,1.90442504982143,2.1848,NA
"Comoras",1.16280654817258,3.33047590659265,1.14050990405651,0.474294075066922,NA,NA
"Congo, República del",21.5321795946405,-1.24305661227719,-0.989438907926612,-3.40756424681143,NA,NA
"Congo, República Democrática del",28.9693437281034,-1.6959222677858,2.46109267100694,1.11015950573636,NA,NA
